,Milan scored,Milan received,Juventus scored,Juventus received,Napoli scored,Napoli received,Sampdoria scored,Sampdoria received,Roma scored,Roma received,Inter scored,Inter received,Chievo scored,Chievo received,Bologna scored,Bologna received,Torino scored,Torino received,Genoa scored,Genoa received,Sassuolo scored,Sassuolo received,Spal scored,Spal received,Lazio scored,Lazio received,Benevento scored,Benevento received,Atalanta scored,Atalanta received,Verona scored,Verona received,Fiorentina scored,Fiorentina received,Cagliari scored,Cagliari received,Crotone scored,Crotone received,Udinese scored,Udinese received
0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0
1,2.5,0.5,3.5,1.0,3.0,1.0,2.0,1.0,1.0,1.5,3.0,0.5,1.5,1.5,1.0,0.5,2.0,0.5,1.0,2.0,0.0,1.5,1.5,1.0,1.0,0.5,0.5,1.5,0.5,2.0,0.5,1.5,0.5,2.5,0.5,2.5,0.0,1.5,1.5,2.5
2,2.0,1.6666666666666667,3.3333333333333335,0.6666666666666666,3.0,0.6666666666666666,1.6666666666666667,1.0,1.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,1.0,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,2.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.0,1.3333333333333333,1.3333333333333333,1.6666666666666667
3,1.6666666666666667,2.0,3.3333333333333335,1.0,4.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.6666666666666666,2.6666666666666665,1.0,2.0,3.0,1.3333333333333333,0.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,0.0,2.6666666666666665,2.6666666666666665,1.0,1.3333333333333333,0.6666666666666666,0.0,1.0,1.3333333333333333,1.6666666666666667
4,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.3333333333333333,4.333333333333333,0.3333333333333333,1.0,1.0,2.6666666666666665,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.0,2.0,1.3333333333333333,1.0,1.6666666666666667,1.0,1.6666666666666667,0.0,2.0,2.6666666666666665,2.3333333333333335,0.0,3.6666666666666665,2.6666666666666665,1.0,0.0,2.6666666666666665,2.3333333333333335,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,1.3333333333333333,1.6666666666666667
5,1.3333333333333333,1.0,2.6666666666666665,0.3333333333333333,4.333333333333333,1.0,1.3333333333333333,0.6666666666666666,3.3333333333333335,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.0,1.6666666666666667,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.3333333333333335,2.0,0.0,4.0,2.3333333333333335,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,1.0,1.0,2.3333333333333335,1.3333333333333333,2.6666666666666665
6,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.6666666666666666,3.3333333333333335,1.0,0.6666666666666666,1.3333333333333333,3.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.0,0.6666666666666666,2.3333333333333335,1.0,2.0,3.3333333333333335,1.6666666666666667,0.3333333333333333,2.6666666666666665,2.6666666666666665,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.0,2.0,1.3333333333333333,2.0,2.3333333333333335,2.0
7,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,3.6666666666666665,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.0,2.0,1.6666666666666667
8,0.6666666666666666,1.6666666666666667,3.0,2.0,1.3333333333333333,0.0,2.6666666666666665,1.6666666666666667,1.0,0.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,1.0,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,1.0,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,3.6666666666666665,0.6666666666666666,0.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,1.0,0.6666666666666666,3.0,1.0,2.6666666666666665,2.3333333333333335,2.6666666666666665
9,2.0,1.3333333333333333,3.6666666666666665,1.6666666666666667,1.3333333333333333,0.6666666666666666,3.3333333333333335,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,2.0,1.0,1.3333333333333333,0.6666666666666666,2.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.3333333333333335,2.3333333333333335,0.6666666666666666,0.3333333333333333,2.0,1.6666666666666667,1.0,1.0,2.0,2.6666666666666665,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.6666666666666665
