,Real Madrid scored,Real Madrid received,Barcelona scored,Barcelona received,Leganes scored,Leganes received,Levante scored,Levante received,Eibar scored,Eibar received,Valencia scored,Valencia received,Sociedad scored,Sociedad received,Ath Madrid scored,Ath Madrid received,Girona scored,Girona received,Sevilla scored,Sevilla received,Ath Bilbao scored,Ath Bilbao received,Getafe scored,Getafe received,Espanol scored,Espanol received,Alaves scored,Alaves received,Malaga scored,Malaga received,Las Palmas scored,Las Palmas received,Villarreal scored,Villarreal received,Betis scored,Betis received,La Coruna scored,La Coruna received,Celta scored,Celta received
0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0
1,2.5,1.0,2.0,0.0,1.0,0.0,1.5,1.0,0.5,0.5,1.5,1.0,3.0,1.0,3.5,1.5,1.5,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.5,0.0,1.0,0.5,3.0,0.0,2.0,1.0,1.5,1.0,2.5,1.5,2.5
2,2.0,1.0,3.0,0.0,1.0,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,3.3333333333333335,1.3333333333333333,2.3333333333333335,1.0,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,1.0,2.0,1.3333333333333333,3.0,1.3333333333333333,1.6666666666666667
3,2.0,1.3333333333333333,3.0,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1.0,2.6666666666666665,1.6666666666666667,2.0,0.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,0.0,1.0,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.0,2.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.6666666666666665,1.0,1.3333333333333333
4,1.3333333333333333,1.0,4.333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,3.0,2.0,0.3333333333333333,1.6666666666666667,2.6666666666666665,1.0,0.3333333333333333,0.0,1.0,1.6666666666666667,0.0,1.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,0.0,1.6666666666666667,0.3333333333333333,3.0,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.0,1.0
5,1.6666666666666667,1.0,3.6666666666666665,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,3.3333333333333335,3.0,1.0,1.0,3.0,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,2.0,1.0,2.0,0.6666666666666666,0.3333333333333333,2.0,1.0,3.0,0.3333333333333333,1.0,1.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,2.0,2.0,1.0
6,1.3333333333333333,0.6666666666666666,4.0,0.3333333333333333,0.6666666666666666,0.0,1.0,2.0,0.3333333333333333,4.333333333333333,3.6666666666666665,1.3333333333333333,2.0,3.3333333333333335,1.3333333333333333,0.3333333333333333,1.0,2.0,1.0,0.6666666666666666,2.0,2.6666666666666665,2.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,3.3333333333333335,0.0,2.0,1.0,1.3333333333333333,3.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.3333333333333333
7,2.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.3333333333333333,0.0,0.0,2.0,0.0,2.3333333333333335,4.0,2.3333333333333335,2.6666666666666665,2.3333333333333335,1.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,2.0,2.0,2.0,1.3333333333333333,1.3333333333333333,1.0,1.0,1.3333333333333333,1.0,2.3333333333333335,0.6666666666666666,3.3333333333333335,1.6666666666666667,1.6666666666666667,3.6666666666666665,3.3333333333333335,1.0,1.6666666666666667,4.0,1.6666666666666667
8,2.3333333333333335,0.3333333333333333,2.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,2.0,4.333333333333333,1.6666666666666667,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.3333333333333333,2.0,2.0,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.0,2.0,0.6666666666666666,4.0,3.0,0.3333333333333333,3.0,3.3333333333333335,1.0,1.0,2.6666666666666665,2.0
9,2.0,1.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,1.6666666666666667,4.0,1.3333333333333333,1.3333333333333333,1.0,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,1.0,4.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.0,2.0,1.6666666666666667
