,Barcelona scored,Barcelona received,Real Madrid scored,Real Madrid received,Sevilla scored,Sevilla received,Las Palmas scored,Las Palmas received,La Coruna scored,La Coruna received,Sp Gijon scored,Sp Gijon received,Leganes scored,Leganes received,Ath Madrid scored,Ath Madrid received,Osasuna scored,Osasuna received,Alaves scored,Alaves received,Granada scored,Granada received,Malaga scored,Malaga received,Villarreal scored,Villarreal received,Ath Bilbao scored,Ath Bilbao received,Eibar scored,Eibar received,Celta scored,Celta received,Espanol scored,Espanol received,Valencia scored,Valencia received,Sociedad scored,Sociedad received,Betis scored,Betis received
0,6.0,2.0,3.0,0.0,6.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,4.0,6.0,2.0,4.0,0.0,3.0,2.0,6.0
1,3.5,1.0,2.5,0.5,3.0,2.0,4.5,1.5,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,1.5,0.5,0.5,1.0,3.0,1.5,1.5,0.5,0.5,0.5,1.5,1.0,1.0,0.5,1.5,3.0,4.0,1.0,2.5,1.0,1.5,1.0,3.0
2,2.6666666666666665,1.3333333333333333,3.3333333333333335,1.0,2.6666666666666665,1.6666666666666667,3.3333333333333335,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.0,2.6666666666666665,1.0,0.6666666666666666,1.0,2.6666666666666665,1.0,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,2.3333333333333335,3.0,1.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,1.6666666666666667,2.6666666666666665
3,2.3333333333333335,1.0,3.0,1.0,1.0,0.6666666666666666,2.3333333333333335,1.0,0.0,0.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,2.3333333333333335,3.0,0.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.3333333333333333,1.3333333333333333,3.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,1.0,1.6666666666666667,1.0,2.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333
4,2.3333333333333335,1.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,0.6666666666666666,1.0,2.0,0.3333333333333333,1.0,1.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,3.3333333333333335,0.3333333333333333,1.0,2.3333333333333335,1.0,1.0,1.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,2.0,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667
5,3.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,1.0,1.3333333333333333,1.3333333333333333,2.0,0.3333333333333333,1.0,0.3333333333333333,4.0,1.3333333333333333,2.6666666666666665,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,2.0,1.0,2.3333333333333335,1.0,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.0
6,3.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.0,1.3333333333333333,0.6666666666666666,3.0,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666666
7,4.0,1.3333333333333333,3.0,1.3333333333333333,2.0,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,3.0,1.3333333333333333,1.6666666666666667,3.3333333333333335,0.3333333333333333,2.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,0.6666666666666666,3.6666666666666665,1.0,1.0,2.6666666666666665,0.3333333333333333,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,2.6666666666666665,0.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335
8,3.3333333333333335,2.0,3.0,1.0,2.0,1.0,1.0,1.3333333333333333,1.0,3.0,0.6666666666666666,1.3333333333333333,1.0,2.3333333333333335,3.0,0.6666666666666666,2.0,2.0,0.6666666666666666,2.0,0.3333333333333333,2.6666666666666665,2.3333333333333335,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.6666666666666667,2.0,2.0,2.3333333333333335,2.6666666666666665,3.0,1.0,1.0,1.3333333333333333,2.0,2.0,1.0,1.0,2.6666666666666665
9,2.6666666666666665,0.6666666666666666,4.0,1.0,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,3.0,0.6666666666666666,1.0,0.6666666666666666,3.0,3.6666666666666665,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.6666666666666665,0.3333333333333333,2.6666666666666665,2.3333333333333335,1.6666666666666667,2.6666666666666665,1.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,3.0,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,1.0,2.6666666666666665
