,Fulham scored,Fulham received,Swansea scored,Swansea received,West Brom scored,West Brom received,Chelsea scored,Chelsea received,Man City scored,Man City received,Newcastle scored,Newcastle received,Everton scored,Everton received,West Ham scored,West Ham received,Reading scored,Reading received,Stoke scored,Stoke received,Arsenal scored,Arsenal received,Sunderland scored,Sunderland received,Southampton scored,Southampton received,Tottenham scored,Tottenham received,Aston Villa scored,Aston Villa received,Man United scored,Man United received,Wigan scored,Wigan received,Liverpool scored,Liverpool received,Norwich scored,Norwich received,QPR scored,QPR received
0,5.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,5.0
1,3.5,1.5,4.0,0.0,2.0,0.5,2.0,0.0,2.5,2.0,1.0,1.5,2.0,0.5,0.5,1.5,0.5,2.0,0.5,0.5,0.0,0.0,1.5,0.0,1.0,2.5,1.0,1.5,0.5,2.0,1.5,1.5,1.0,1.0,1.0,2.5,0.5,3.0,0.5,3.0
2,2.3333333333333335,2.0,3.3333333333333335,0.6666666666666666,2.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0,2.6666666666666665,1.0,1.0,0.6666666666666666,0.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,2.3333333333333335,0.6666666666666666,3.0
3,1.6666666666666667,2.0,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,2.0,0.6666666666666666,2.0,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.0,1.0,3.3333333333333335,1.0,1.0,2.6666666666666665,0.3333333333333333,2.0,1.0,1.0,3.6666666666666665,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,3.3333333333333335,1.3333333333333333,1.3333333333333333,2.0,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333
4,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.0,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,2.6666666666666665,1.0,1.3333333333333333,3.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.0,1.0,1.3333333333333333,1.6666666666666667,3.0,1.0,1.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667
5,2.0,1.0,0.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,1.0,1.0,0.6666666666666666,1.0,2.0,1.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.0,0.6666666666666666,2.0,3.3333333333333335,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333
6,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.0,2.3333333333333335,0.6666666666666666,2.0,0.6666666666666666,1.0,1.6666666666666667,2.6666666666666665,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,2.0,2.3333333333333335,1.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,2.0,1.3333333333333333,1.0,3.3333333333333335,1.3333333333333333,2.3333333333333335
7,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,2.0,2.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,3.0,2.3333333333333335,2.0,0.3333333333333333,1.3333333333333333,3.0,1.6666666666666667,1.0,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,3.0,1.3333333333333333,2.0
8,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,3.3333333333333335,2.0,2.0,0.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,2.0,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,2.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,3.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,1.0,1.6666666666666667,1.0,1.6666666666666667
9,2.0,1.6666666666666667,1.0,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,2.0,1.0,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,3.0,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0
