,Mallorca scored,Mallorca received,Almeria scored,Almeria received,Villarreal scored,Villarreal received,Real Madrid scored,Real Madrid received,Murcia scored,Murcia received,Valladolid scored,Valladolid received,Sevilla scored,Sevilla received,Betis scored,Betis received,Recreativo scored,Recreativo received,Ath Bilbao scored,Ath Bilbao received,Osasuna scored,Osasuna received,Barcelona scored,Barcelona received,Santander scored,Santander received,Zaragoza scored,Zaragoza received,Espanol scored,Espanol received,Getafe scored,Getafe received,La Coruna scored,La Coruna received,Levante scored,Levante received,Valencia scored,Valencia received,Ath Madrid scored,Ath Madrid received
0,3,0,3,0,3,0,2,1,2,1,1,0,4,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1,4,0,3,0,3,0,3,1,2
1,1,1,1,2,0,5,5,0,0,0,2,2,1,1,2,2,1,1,1,3,1,1,3,1,1,1,1,1,2,2,1,1,2,2,0,0,2,1,1,1
2,0,1,1,3,1,0,3,1,1,1,1,2,4,1,0,1,1,4,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,2,1,1,1
3,1,1,1,1,2,0,1,1,0,2,1,1,1,2,1,2,2,1,2,1,1,2,2,1,0,4,2,1,1,2,0,0,0,0,1,2,2,1,4,0
4,4,2,1,0,2,0,2,0,0,1,2,4,2,3,0,2,2,0,0,2,4,1,4,1,0,2,1,4,3,2,1,2,0,2,1,4,2,1,2,0
5,0,3,0,1,1,0,1,0,4,1,1,4,0,2,3,0,0,1,0,1,0,2,4,1,1,0,2,0,1,0,0,1,0,1,1,4,1,0,2,0
6,4,2,1,1,2,3,2,0,0,0,0,2,0,1,0,0,0,2,1,1,3,2,3,0,2,0,3,0,2,1,2,4,1,0,0,3,1,2,0,3
7,2,0,2,0,3,1,1,2,0,2,1,2,2,0,1,1,0,2,2,1,0,2,1,3,1,1,0,4,2,1,2,0,2,4,0,2,4,2,4,0
8,2,2,0,2,1,4,3,1,1,0,2,2,3,0,0,0,0,1,0,0,2,2,2,0,2,0,4,1,2,2,0,2,1,3,0,1,0,3,1,0
9,1,1,0,1,3,0,5,1,0,0,1,1,3,4,0,3,0,0,0,2,3,0,1,1,0,0,1,0,0,0,2,0,1,1,0,3,1,5,4,3
10,3,6,0,3,7,5,4,5,0,5,4,2,4,3,2,4,1,2,3,2,0,3,3,2,2,1,3,5,3,2,4,0,2,1,3,1,5,0,3,4
11,2,1,1,1,1,1,1,1,1,1,3,4,1,2,3,4,0,3,2,2,1,2,3,0,1,0,1,1,2,1,1,1,2,2,4,3,0,1,4,3
12,1,1,1,0,0,2,3,1,1,1,2,0,0,1,0,2,2,1,3,0,2,1,1,1,1,3,1,2,1,1,2,1,1,2,1,2,0,3,2,0
13,1,3,1,0,0,1,1,0,1,3,0,1,3,1,1,0,2,0,0,1,0,0,2,1,3,1,3,3,3,3,0,1,1,2,0,2,0,0,1,0
14,0,0,1,3,3,1,2,0,2,1,0,0,0,0,3,1,0,0,0,0,0,2,3,0,1,2,1,1,1,0,1,3,1,1,0,1,0,3,0,0
15,1,3,0,2,1,1,1,0,1,1,0,0,4,1,0,0,1,1,1,1,3,1,0,1,1,4,2,2,2,1,2,0,1,0,0,1,2,2,1,2
16,0,2,1,1,0,3,2,0,2,0,3,0,3,0,0,3,1,1,0,1,0,2,2,0,1,0,0,2,3,0,0,3,0,3,0,0,0,0,3,0
17,2,2,1,0,4,3,2,0,0,4,3,1,0,2,3,2,1,3,2,0,0,2,4,0,2,0,2,2,0,1,2,3,3,4,0,2,0,1,1,0
18,2,2,1,0,3,0,2,0,1,3,2,1,2,3,1,1,1,1,0,2,2,0,1,0,0,1,3,1,1,2,3,2,0,1,2,2,0,3,0,2
19,1,0,1,0,2,3,3,2,2,3,1,3,2,1,2,1,1,3,1,1,1,2,1,1,2,2,2,2,1,2,3,1,3,1,3,2,0,1,0,1
20,1,1,2,0,1,1,0,2,1,1,0,2,2,1,0,1,1,2,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,2,0,1,1
21,0,0,0,0,1,0,7,0,0,1,0,7,1,1,1,3,2,1,1,0,1,0,1,1,0,2,0,1,1,2,1,1,1,1,0,1,3,1,2,0
22,1,1,1,0,0,0,1,2,0,1,1,1,4,2,2,1,3,2,2,1,1,2,2,1,0,0,1,2,2,4,0,0,2,3,2,1,0,0,1,2
23,1,1,0,1,2,1,0,1,0,1,1,0,5,0,1,1,1,1,1,2,3,1,5,1,1,0,0,5,0,2,1,0,2,0,1,5,1,1,1,3
24,3,3,1,1,0,0,3,2,0,4,0,1,1,2,4,0,2,3,1,1,0,0,2,4,1,0,1,2,2,0,3,3,2,1,2,1,0,2,4,2
25,7,1,1,2,2,1,2,1,0,3,0,2,2,1,0,3,1,7,2,0,2,1,1,2,3,0,2,1,1,2,3,0,2,2,1,2,2,2,1,2
26,1,2,2,2,2,0,0,1,2,4,0,0,2,1,1,2,4,2,2,1,0,0,2,2,1,2,0,2,2,1,2,1,1,0,0,3,1,2,3,0
27,1,0,1,1,2,1,2,3,4,0,1,4,1,2,1,0,0,2,1,0,0,1,4,1,2,0,1,1,0,4,0,1,0,1,1,2,3,2,2,1
28,3,0,2,1,3,0,3,1,1,3,2,1,1,3,3,2,1,1,1,1,2,0,2,3,3,0,1,2,0,3,0,2,3,1,1,2,0,3,0,3
29,1,1,3,6,0,2,1,1,1,0,3,0,2,0,3,0,1,0,1,0,0,1,0,0,1,3,0,3,0,1,0,0,3,1,0,3,0,1,6,3
30,2,3,1,0,0,1,1,0,0,1,1,1,3,2,0,1,2,2,0,3,1,0,2,2,2,1,0,0,0,1,0,0,3,0,1,0,1,2,1,1
31,4,1,4,1,2,0,2,0,1,4,0,2,1,4,3,1,0,3,5,1,0,1,0,0,0,2,3,0,0,0,1,3,1,0,3,1,1,5,1,3
32,3,1,0,1,1,0,3,0,0,0,1,0,0,0,0,1,2,0,0,3,0,3,0,2,1,3,1,1,1,1,1,1,2,0,0,2,3,0,1,1
33,2,1,1,1,2,0,2,1,2,3,0,2,2,0,1,1,0,3,1,2,1,2,6,0,3,2,1,0,1,1,0,2,0,1,1,1,0,6,3,0
34,2,1,2,4,2,0,4,1,1,2,1,1,3,0,1,1,0,2,2,1,1,2,1,4,0,3,0,1,0,2,4,2,1,0,0,1,1,0,2,0
35,3,2,0,2,2,0,2,2,1,2,0,0,2,0,0,2,2,0,0,0,2,1,2,3,0,0,2,2,0,2,0,0,0,1,1,5,5,1,1,0
36,3,2,3,1,2,0,5,2,3,5,1,1,4,1,1,1,1,1,1,4,0,1,5,3,1,0,2,3,1,3,1,1,0,2,2,5,3,1,1,3
