,Juventus scored,Juventus received,Milan scored,Milan received,Fiorentina scored,Fiorentina received,Roma scored,Roma received,Cagliari scored,Cagliari received,Sampdoria scored,Sampdoria received,Catania scored,Catania received,Lazio scored,Lazio received,Parma scored,Parma received,Torino scored,Torino received,Atalanta scored,Atalanta received,Inter scored,Inter received,Reggina scored,Reggina received,Udinese scored,Udinese received,Siena scored,Siena received,Empoli scored,Empoli received,Napoli scored,Napoli received,Palermo scored,Palermo received,Genoa scored,Genoa received,Livorno scored,Livorno received
0,5.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,5.0
1,4.0,1.5,2.0,0.5,2.0,1.0,2.5,0.0,2.0,1.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.5,0.5,1.5,0.5,1.5,1.5,0.5,3.0,0.5,2.5,0.5,2.5,2.5,1.0,2.0,2.0,0.0,1.5,1.5,4.5
2,2.6666666666666665,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,2.3333333333333335,0.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,0.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,3.3333333333333335
3,1.6666666666666667,1.6666666666666667,1.0,1.0,1.3333333333333333,1.0,2.3333333333333335,0.6666666666666666,1.0,1.6666666666666667,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.0,2.0,0.6666666666666666,0.6666666666666666,2.0,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.0,0.6666666666666666,2.3333333333333335,0.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,2.3333333333333335
4,2.0,1.0,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,1.6666666666666667,0.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.0,2.6666666666666665,1.6666666666666667,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.0,1.3333333333333333
5,2.3333333333333335,0.6666666666666666,1.0,1.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,0.6666666666666666,1.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,3.0,1.0,0.3333333333333333,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,2.0
6,2.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,1.0,2.0,2.0,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,3.0,0.6666666666666666,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,0.0,1.6666666666666667
7,1.0,0.3333333333333333,2.0,1.0,2.3333333333333335,0.3333333333333333,2.6666666666666665,2.6666666666666665,0.6666666666666666,1.0,2.0,0.3333333333333333,1.0,0.6666666666666666,1.0,2.0,0.3333333333333333,2.6666666666666665,1.0,1.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,2.6666666666666665,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667
8,1.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,2.6666666666666665,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,1.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.6666666666666667
9,1.6666666666666667,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.0,2.6666666666666665,2.0,1.0,1.6666666666666667,1.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.3333333333333335,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667
10,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,2.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.0,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,2.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.3333333333333333
11,2.0,1.0,2.0,0.6666666666666666,1.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.0,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,2.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,3.0,2.0,1.0
12,2.6666666666666665,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,3.0,1.0,2.0,2.0,1.0
13,2.3333333333333335,0.6666666666666666,1.0,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,1.0,1.0,2.0,0.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,3.0,0.3333333333333333,1.3333333333333333,2.0,1.0
14,2.0,0.0,1.0,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,2.0,2.0,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,0.0,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666
