,Milan scored,Milan received,Parma scored,Parma received,Sampdoria scored,Sampdoria received,Chievo scored,Chievo received,Bari scored,Bari received,Genoa scored,Genoa received,Fiorentina scored,Fiorentina received,Napoli scored,Napoli received,Roma scored,Roma received,Cagliari scored,Cagliari received,Inter scored,Inter received,Palermo scored,Palermo received,Catania scored,Catania received,Juventus scored,Juventus received,Udinese scored,Udinese received,Lazio scored,Lazio received,Bologna scored,Bologna received,Cesena scored,Cesena received,Brescia scored,Brescia received,Lecce scored,Lecce received
0,1.3333333333333333,0.3333333333333333,2.6666666666666665,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.6666666666666665,2.6666666666666665,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,1.6666666666666667,1.0,1.0,0.6666666666666666,1.0,2.3333333333333335,2.0,2.6666666666666665,1.6666666666666667,1.3333333333333333,1.0,1.0,,,,,,
1,1.0,1.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,2.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667,3.0,1.6666666666666667,2.6666666666666665,2.6666666666666665,1.0,1.0,1.6666666666666667,,,,,,
2,1.3333333333333333,1.0,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.3333333333333335,2.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.0,0.6666666666666666,3.0,2.6666666666666665,1.0,1.3333333333333333,2.0,,,,,,
3,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,1.0,0.6666666666666666,2.0,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,3.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,0.6666666666666666,2.0,2.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,2.0,0.6666666666666666,2.6666666666666665,2.0,1.0,1.6666666666666667,2.0,1.0,0.6666666666666666,2.0,1.0,0.6666666666666666,0.6666666666666666
4,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,1.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,3.0,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.0,1.0,1.3333333333333333
5,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,2.3333333333333335,1.0,1.0,1.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.3333333333333333,1.0
6,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,1.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,2.6666666666666665,1.3333333333333333,0.6666666666666666,1.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,0.0,1.0,2.0,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,1.0,2.0
7,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.0,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667
8,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,2.3333333333333335
9,2.0,1.6666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,1.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667
