,Man United scored,Man United received,Chelsea scored,Chelsea received,Portsmouth scored,Portsmouth received,West Ham scored,West Ham received,Bolton scored,Bolton received,Reading scored,Reading received,Everton scored,Everton received,Newcastle scored,Newcastle received,Arsenal scored,Arsenal received,Aston Villa scored,Aston Villa received,Liverpool scored,Liverpool received,Sheffield United scored,Sheffield United received,Middlesbrough scored,Middlesbrough received,Watford scored,Watford received,Wigan scored,Wigan received,Charlton scored,Charlton received,Tottenham scored,Tottenham received,Blackburn scored,Blackburn received,Man City scored,Man City received,Fulham scored,Fulham received
0,5.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,5.0
1,4.0,0.5,2.0,1.0,1.5,0.0,2.0,1.0,1.5,0.5,2.0,2.0,1.5,1.0,1.0,1.5,1.0,0.5,1.5,1.0,1.5,0.5,0.5,1.5,2.0,2.0,1.0,1.5,0.5,1.5,0.5,3.0,1.0,1.0,0.5,2.0,0.0,1.5,1.0,3.0
2,3.3333333333333335,0.6666666666666666,2.0,0.6666666666666666,2.3333333333333335,0.0,1.6666666666666667,1.3333333333333333,1.0,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,1.0,1.0,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,1.0,1.0,2.0
3,2.0,0.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,0.0,1.0,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,2.0,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,1.0,1.0,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666
4,1.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,0.3333333333333333
5,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,2.0,1.0,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0
6,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,1.6666666666666667,1.0,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,2.0,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667
7,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,1.0,0.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,2.0,0.6666666666666666,2.0,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,2.0
8,2.3333333333333335,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,1.0,1.0,2.0,2.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,1.6666666666666667,2.0,1.6666666666666667
9,3.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,2.0,1.0,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,1.3333333333333333,1.0,0.3333333333333333,1.0,2.6666666666666665,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.0,0.6666666666666666,0.0,1.0,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1.0
