,Dortmund scored,Dortmund received,RB Leipzig scored,RB Leipzig received,Freiburg scored,Freiburg received,Fortuna Dusseldorf scored,Fortuna Dusseldorf received,Leverkusen scored,Leverkusen received,Wolfsburg scored,Wolfsburg received,Ein Frankfurt scored,Ein Frankfurt received,Bayern Munich scored,Bayern Munich received,Hertha scored,Hertha received,M'gladbach scored,M'gladbach received,Schalke 04 scored,Schalke 04 received,Paderborn scored,Paderborn received,FC Koln scored,FC Koln received,Hoffenheim scored,Hoffenheim received,Werder Bremen scored,Werder Bremen received,Mainz scored,Mainz received,Augsburg scored,Augsburg received,Union Berlin scored,Union Berlin received
0,5,1,4,0,3,0,3,1,3,2,2,1,1,0,2,2,2,2,0,0,0,0,2,3,1,2,0,1,1,3,0,3,1,5,0,4
1,8,2,6,1,6,1,4,4,6,3,5,1,2,2,5,2,2,5,3,1,0,3,3,6,2,5,3,3,3,6,1,6,2,6,1,5
2,9,5,9,2,7,3,5,6,6,3,6,2,4,3,11,3,2,8,4,4,3,3,4,7,4,6,3,3,6,8,2,12,4,9,4,6
3,13,5,10,3,10,3,6,7,6,7,7,3,5,5,12,4,3,10,5,4,8,4,5,12,4,7,3,6,8,9,4,13,6,10,5,8
4,15,7,13,3,11,4,7,9,8,7,8,4,7,7,16,4,5,11,7,5,10,5,6,14,4,11,4,7,8,12,5,15,7,11,5,10
5,17,9,14,6,13,5,8,11,11,7,9,4,9,8,19,6,9,11,10,5,13,6,8,17,4,15,4,10,10,14,5,16,7,14,6,12
6,19,11,15,7,15,7,9,14,12,8,10,4,11,10,20,8,12,12,15,6,14,7,9,19,5,16,6,11,12,16,7,17,8,19,6,13
7,20,11,16,8,15,9,10,14,12,11,11,5,14,10,22,10,13,13,15,7,14,9,9,22,8,16,8,11,13,17,7,18,10,21,8,13
8,20,11,17,10,17,10,10,16,14,13,11,5,16,14,24,11,15,16,19,9,14,9,11,22,9,19,11,13,15,19,10,19,10,21,9,15
9,23,11,25,10,19,12,12,16,15,15,11,8,21,15,25,16,15,17,21,10,17,11,11,25,9,21,14,13,17,21,10,27,12,24,10,15
10,23,15,29,12,20,12,15,19,17,15,11,10,21,16,29,16,17,21,24,11,20,14,11,26,10,23,16,14,18,24,12,30,13,24,13,17
11,26,18,33,13,21,13,15,23,18,16,13,10,21,18,33,16,17,25,24,13,22,15,14,29,11,27,17,19,19,26,17,31,17,24,15,17
12,28,19,36,15,23,17,16,24,20,17,15,13,22,20,34,18,18,27,28,15,24,16,16,32,12,28,18,20,22,28,19,32,18,25,16,19
13,33,19,39,16,24,17,16,29,22,18,15,14,24,22,35,20,20,29,30,16,25,18,17,32,12,30,19,23,22,29,20,34,20,26,18,19
14,37,19,42,16,24,18,16,32,22,20,17,15,24,23,41,21,21,29,31,18,26,18,18,33,14,30,21,27,23,35,20,38,24,28,19,20
15,40,22,45,19,25,21,16,35,22,21,18,16,26,27,44,22,22,29,33,18,27,19,18,35,18,32,23,27,23,40,25,38,27,28,19,22
16,41,24,48,20,27,23,18,36,23,21,18,18,27,29,46,22,22,29,33,18,29,21,20,36,19,32,25,28,23,41,25,39,28,31,20,24
17,46,27,51,21,29,24,18,37,27,22,19,21,29,30,50,22,22,33,33,20,31,21,21,40,22,33,26,30,24,41,26,41,31,36,21,27
18,51,28,51,23,29,26,18,40,30,22,20,23,31,30,55,22,24,34,36,21,31,26,23,40,23,38,29,30,24,44,27,44,31,38,23,27
19,56,28,53,25,29,30,19,41,31,24,24,25,32,31,58,23,24,34,38,23,31,26,25,44,27,38,31,31,25,46,28,47,33,39,23,32
20,59,32,53,25,30,30,20,42,35,27,25,26,37,31,58,23,25,37,40,24,32,27,26,45,28,40,31,32,25,48,31,48,33,44,25,32
21,63,32,56,25,31,31,21,46,38,29,28,28,37,35,62,24,27,38,44,25,32,27,27,47,29,44,33,35,25,51,31,48,34,45,27,35
22,65,32,61,25,31,33,23,46,40,29,32,28,38,37,65,26,27,43,45,26,32,32,29,50,34,44,34,36,25,53,31,52,34,47,29,36
23,66,32,62,26,31,34,26,49,41,30,34,30,38,37,71,26,30,46,48,28,32,35,29,52,37,44,34,42,25,53,33,52,36,50,31,38
24,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
25,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
26,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
27,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
28,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
29,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
30,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
31,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
32,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
33,68,33,62,26,34,35,27,50,45,30,34,30,38,41,73,26,32,48,49,30,33,36,30,54,39,45,35,43,27,55,34,53,36,52,32,41
