,Valenciennes scored,Valenciennes received,Nancy scored,Nancy received,Lyon scored,Lyon received,Bordeaux scored,Bordeaux received,Le Mans scored,Le Mans received,Caen scored,Caen received,Monaco scored,Monaco received,St Etienne scored,St Etienne received,Lorient scored,Lorient received,Sochaux scored,Sochaux received,Lille scored,Lille received,Marseille scored,Marseille received,Paris SG scored,Paris SG received,Strasbourg scored,Strasbourg received,Metz scored,Metz received,Nice scored,Nice received,Lens scored,Lens received,Toulouse scored,Toulouse received,Auxerre scored,Auxerre received,Rennes scored,Rennes received
0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0
1,2.0,2.0,1.5,0.0,1.0,0.5,1.5,0.0,2.0,0.5,0.5,0.5,1.0,1.5,2.0,1.0,1.0,0.5,0.5,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.5,0.5,0.0,0.5,1.0,1.5,0.0,2.0,0.0,1.0
2,2.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.0,1.3333333333333333,1.0,1.6666666666666667,0.0,2.3333333333333335,0.3333333333333333,0.6666666666666666
3,1.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.0,1.0,0.6666666666666666,2.0,1.0,0.6666666666666666,1.0,2.0,0.6666666666666666,1.0,0.6666666666666666,2.3333333333333335,1.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.0,1.0,1.3333333333333333,0.3333333333333333,1.0,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,1.0,0.0,1.0,1.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333
4,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.0,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.0,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,2.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.3333333333333333
5,2.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.0,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.6666666666666667,0.6666666666666666,2.0,1.6666666666666667,0.3333333333333333
6,2.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,2.0,1.0,1.6666666666666667,1.0,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,1.0,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.6666666666666665,2.0,0.6666666666666666
7,1.0,1.0,1.0,0.6666666666666666,3.3333333333333335,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,2.0,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666
8,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,3.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,1.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,0.0,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,0.0,0.3333333333333333,1.0,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333
9,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,3.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.0,2.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0
