,Inter scored,Inter received,Lazio scored,Lazio received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Torino scored,Torino received,Brescia scored,Brescia received,Juventus scored,Juventus received,Udinese scored,Udinese received,Roma scored,Roma received,Genoa scored,Genoa received,Bologna scored,Bologna received,Verona scored,Verona received,Fiorentina scored,Fiorentina received,Spal scored,Spal received,Sassuolo scored,Sassuolo received,Milan scored,Milan received,Cagliari scored,Cagliari received,Parma scored,Parma received,Sampdoria scored,Sampdoria received,Lecce scored,Lecce received
0,4,0,3,0,4,3,3,2,2,1,1,0,1,0,1,0,3,3,3,3,1,1,1,1,3,4,2,3,1,2,0,1,0,1,0,1,0,3,0,4
1,6,1,4,1,7,7,5,5,5,3,1,1,5,3,2,3,4,4,5,4,2,1,2,1,4,6,2,4,5,3,1,1,1,3,3,2,1,7,0,5
2,7,1,5,3,9,7,7,6,6,5,4,5,5,3,2,4,8,6,6,6,6,4,2,2,4,6,4,5,7,7,2,1,4,4,4,5,1,9,2,6
3,9,1,7,3,13,8,9,8,6,6,5,5,7,4,2,5,10,7,7,9,7,6,3,4,6,8,4,8,10,7,2,3,7,5,4,7,2,9,3,10
4,10,1,7,4,13,9,11,8,8,7,6,7,9,5,2,5,10,9,7,9,7,6,3,4,8,9,5,11,10,8,3,5,8,5,5,7,3,11,6,11
5,13,2,11,4,15,10,15,9,10,10,7,9,11,5,3,5,11,9,7,13,7,7,4,5,11,10,5,13,11,12,4,8,9,6,8,9,4,14,6,12
6,14,4,13,6,15,10,18,10,10,10,7,11,13,6,3,6,12,10,8,15,9,9,6,5,12,10,6,13,13,12,6,9,10,7,8,10,4,16,7,15
7,18,7,16,9,17,10,21,13,10,11,7,11,15,7,4,6,12,10,9,20,10,11,6,7,12,10,6,15,16,16,8,11,12,7,13,11,4,16,9,17
8,20,9,18,10,18,11,28,14,11,12,8,14,16,8,5,13,14,11,12,21,12,12,6,8,13,12,7,16,17,16,9,13,13,8,15,13,5,18,10,18
9,22,10,22,10,20,13,30,16,11,16,9,16,18,9,5,17,18,11,13,23,14,15,7,8,15,13,7,17,18,18,10,13,16,10,15,14,6,19,11,19
10,24,11,24,11,21,15,30,18,11,17,10,18,19,9,8,18,20,12,14,26,15,17,9,9,16,14,7,18,20,20,11,15,18,10,16,15,7,19,13,21
11,26,12,28,13,21,15,30,18,15,17,10,22,20,9,8,18,20,14,14,26,16,20,10,11,18,19,7,18,23,21,11,16,23,12,18,15,7,19,15,25
12,29,12,30,14,22,16,31,21,15,20,10,25,23,10,9,20,23,14,15,27,18,22,11,11,18,20,8,19,24,23,12,17,25,14,20,17,9,20,17,27
13,31,13,33,14,23,18,34,21,16,20,10,28,25,12,9,23,26,15,15,28,20,23,12,14,18,21,9,21,26,25,13,17,29,17,20,18,12,24,18,27
14,31,13,36,15,24,19,37,23,18,21,11,28,26,15,10,24,26,15,17,30,22,26,14,17,19,23,9,22,28,27,16,19,31,19,21,18,12,25,20,29
15,32,14,38,16,25,21,38,25,21,24,14,28,29,16,11,27,29,16,17,31,24,27,17,20,20,24,10,25,28,27,16,19,32,21,23,19,13,25,20,32
16,36,14,38,16,27,22,43,25,22,26,15,29,31,17,13,28,33,17,17,35,27,29,17,20,21,28,12,26,29,29,16,24,33,23,24,20,14,27,22,35
17,39,15,40,17,28,25,48,25,24,26,16,31,35,17,14,28,33,19,19,36,28,30,19,20,22,29,12,28,30,31,16,24,33,27,24,25,14,27,22,36
18,40,16,41,17,28,26,49,26,25,26,17,36,37,18,17,28,34,21,20,38,28,31,21,21,23,29,12,29,30,34,18,24,33,29,26,25,19,28,22,38
19,41,17,46,18,28,28,50,28,26,28,19,38,39,19,19,31,37,22,21,41,29,32,22,22,25,29,14,30,32,35,21,26,35,31,27,27,20,33,23,39
20,42,18,47,19,30,29,57,28,26,35,19,39,40,21,19,33,38,23,21,41,32,33,25,22,25,29,15,33,32,35,22,26,36,32,29,27,20,33,23,42
21,44,18,52,20,34,31,59,30,26,39,20,41,43,21,19,35,40,27,23,43,34,34,26,23,25,32,16,38,36,37,23,27,38,34,31,29,22,37,27,42
22,48,20,53,20,36,34,61,31,27,42,21,42,44,23,20,36,42,30,24,43,37,36,28,24,26,34,17,40,38,38,25,31,38,35,31,30,25,38,30,44
23,49,22,55,21,37,34,63,32,27,43,21,44,46,23,20,36,43,32,27,43,37,39,28,24,31,35,18,42,38,39,26,31,38,36,32,30,26,43,32,45
24,49,22,58,23,39,35,63,32,27,43,22,46,48,24,21,37,47,32,29,46,38,40,28,24,32,36,19,44,38,39,27,32,38,36,32,30,26,43,32,49
25,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
26,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
27,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
28,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
29,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
30,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
31,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
32,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
33,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
34,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
35,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
36,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
37,49,24,60,23,41,36,70,34,28,45,22,49,50,24,21,37,51,35,31,47,38,42,29,26,32,36,20,44,41,39,28,34,41,40,32,31,28,44,34,56
