,Chelsea scored,Chelsea received,Man City scored,Man City received,Arsenal scored,Arsenal received,Liverpool scored,Liverpool received,Swansea scored,Swansea received,Aston Villa scored,Aston Villa received,Hull scored,Hull received,Tottenham scored,Tottenham received,Everton scored,Everton received,Sunderland scored,Sunderland received,West Brom scored,West Brom received,Crystal Palace scored,Crystal Palace received,Man United scored,Man United received,Southampton scored,Southampton received,Stoke scored,Stoke received,West Ham scored,West Ham received,Newcastle scored,Newcastle received,Leicester scored,Leicester received,QPR scored,QPR received,Burnley scored,Burnley received
0,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.6666666666666666,2.0,0.0,1.6666666666666667,2.0,2.3333333333333335,1.0,1.3333333333333333,2.6666666666666665,1.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.0,1.0,0.6666666666666666,1.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.0,1.0,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,,,,,,
1,1.3333333333333333,0.3333333333333333,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,2.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,2.0,2.3333333333333335,0.6666666666666666,2.0,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,1.0,2.0,2.6666666666666665,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,,,,,,
2,3.3333333333333335,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,2.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0,2.3333333333333335,2.6666666666666665,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.6666666666666667,2.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,,,,,,
3,4.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,2.3333333333333335,2.6666666666666665,1.0,1.3333333333333333,0.0,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,2.0,1.0,2.3333333333333335,0.6666666666666666,1.0,0.3333333333333333,2.6666666666666665,0.0,0.3333333333333333
4,3.6666666666666665,2.0,1.0,1.3333333333333333,2.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,2.0,2.3333333333333335,3.0,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.0,1.0,2.0,2.0,1.6666666666666667,3.0,2.3333333333333335,1.3333333333333333,1.0,2.0,0.0,0.0
5,2.6666666666666665,1.0,2.3333333333333335,1.6666666666666667,2.0,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.0,2.0,2.6666666666666665,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,3.0,2.0,2.3333333333333335,0.3333333333333333,1.0,1.0,2.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,2.0,1.6666666666666667,1.0,2.6666666666666665,0.0,1.3333333333333333
6,2.0,0.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.0,2.6666666666666665,2.0,2.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,1.0,0.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.3333333333333335,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.0,1.0,1.3333333333333333,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.0,2.0,0.6666666666666666,2.0
7,2.3333333333333335,0.3333333333333333,3.3333333333333335,1.0,1.0,1.6666666666666667,2.0,1.3333333333333333,1.0,1.3333333333333333,0.0,2.6666666666666665,2.0,2.0,1.0,1.6666666666666667,1.6666666666666667,1.0,1.0,3.0,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,2.0,1.3333333333333333,3.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,1.0,1.0,1.0,0.6666666666666666,1.6666666666666667,1.0,2.3333333333333335,1.0,3.0
8,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,0.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.0,2.0,2.3333333333333335,1.0,1.0,3.6666666666666665,1.6666666666666667,2.0,1.0,2.0,1.6666666666666667,1.3333333333333333,3.0,0.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.6666666666666665
9,1.6666666666666667,1.0,2.0,1.0,2.3333333333333335,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,1.3333333333333333,2.3333333333333335,2.0,0.3333333333333333,1.0,3.6666666666666665,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,3.3333333333333335,0.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,3.0
