,Genk scored,Genk received,Oostende scored,Oostende received,Waregem scored,Waregem received,Anderlecht scored,Anderlecht received,Kortrijk scored,Kortrijk received,Charleroi scored,Charleroi received,St Truiden scored,St Truiden received,Gent scored,Gent received,Westerlo scored,Westerlo received,Waasland-Beveren scored,Waasland-Beveren received,Club Brugge scored,Club Brugge received,Standard scored,Standard received,Mechelen scored,Mechelen received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Lokeren scored,Lokeren received,Mouscron-Peruwelz scored,Mouscron-Peruwelz received
0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0
1,1.5,1.0,2.5,1.0,2.0,1.5,2.5,1.0,1.5,1.5,2.0,1.5,2.0,0.5,1.0,0.5,1.0,1.5,2.0,2.0,2.0,1.0,1.5,1.5,0.5,3.0,0.5,2.5,1.5,2.5,0.5,2.0
2,1.0,0.6666666666666666,2.0,1.0,1.3333333333333333,1.0,2.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,1.0,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335
3,0.6666666666666666,0.6666666666666666,2.0,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0
4,1.0,1.3333333333333333,2.0,1.0,1.0,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.0,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.3333333333333335
5,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.6666666666666667,3.0,1.3333333333333333,1.0,3.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,1.0,1.3333333333333333,1.6666666666666667
6,1.0,1.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,1.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.6666666666666667,2.0,3.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,3.3333333333333335,2.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667
7,1.6666666666666667,0.3333333333333333,2.0,1.0,2.0,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,3.6666666666666665,4.333333333333333,1.3333333333333333,0.6666666666666666,4.0,1.6666666666666667,2.3333333333333335,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.0
8,1.0,0.6666666666666666,2.6666666666666665,1.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,1.3333333333333333,3.0,1.0,4.333333333333333,2.3333333333333335,1.0,1.0,2.3333333333333335,1.0,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,2.0,1.3333333333333333
9,2.0,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,3.6666666666666665,1.0,1.0,2.6666666666666665,1.6666666666666667,3.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,3.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333
10,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,3.0,2.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.3333333333333335,3.0,1.0,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667
11,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,3.3333333333333335,2.6666666666666665,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.0,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,2.3333333333333335,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.0,1.3333333333333333,1.0,1.6666666666666667,2.0,1.0
12,1.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,2.6666666666666665,2.3333333333333335,2.6666666666666665,0.6666666666666666,1.3333333333333333,1.0,1.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,2.0,1.6666666666666667,2.3333333333333335,2.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333
13,0.6666666666666666,3.0,2.0,1.6666666666666667,3.3333333333333335,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,2.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,2.0,2.0,0.0,2.0,1.6666666666666667,1.0,2.0,1.3333333333333333
14,0.6666666666666666,2.0,2.3333333333333335,1.0,2.6666666666666665,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,2.0
15,1.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,1.0,1.0,2.6666666666666665,1.0,0.6666666666666666,3.0,1.3333333333333333,1.6666666666666667,2.0,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667
16,1.0,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,2.0,2.6666666666666665,0.3333333333333333,1.6666666666666667,1.0,1.0,2.0,1.0,3.0,1.3333333333333333,1.0,1.0,1.0
17,1.0,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.3333333333333333,3.6666666666666665,1.0,1.3333333333333333,3.0,0.6666666666666666,1.3333333333333333,1.0,2.0,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.0,1.0,1.0,1.3333333333333333
18,0.0,0.3333333333333333,1.0,1.0,2.0,2.0,1.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.3333333333333335,2.6666666666666665,2.0,2.0,1.0,2.0,1.3333333333333333
19,1.0,0.0,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,3.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,2.3333333333333335,0.6666666666666666,1.0,2.0,0.6666666666666666,0.6666666666666666,1.0,2.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,2.0,3.0,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667
20,1.0,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.0,0.6666666666666666,3.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.0,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667
21,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.0,1.0,2.0,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,1.6666666666666667,2.0,2.0,2.6666666666666665,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,2.0,2.0,1.0,1.3333333333333333,1.6666666666666667,0.0,2.3333333333333335
22,1.0,1.0,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,2.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,1.6666666666666667,2.0,2.6666666666666665,3.0,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,2.3333333333333335
23,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.3333333333333335
