,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,PSV Eindhoven scored,PSV Eindhoven received,Zwolle scored,Zwolle received,Groningen scored,Groningen received,Dordrecht scored,Dordrecht received,Feyenoord scored,Feyenoord received,NAC Breda scored,NAC Breda received,Excelsior scored,Excelsior received,Cambuur scored,Cambuur received,Go Ahead Eagles scored,Go Ahead Eagles received,Heerenveen scored,Heerenveen received,Den Haag scored,Den Haag received,Willem II scored,Willem II received,Utrecht scored,Utrecht received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,Twente scored,Twente received
0,4.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0,1.0
1,3.5,1.0,2.0,1.5,4.5,1.0,2.0,0.5,3.0,1.5,1.5,1.5,1.0,0.5,1.0,3.5,2.0,1.5,1.5,1.5,2.0,3.0,1.0,1.5,1.0,1.5,1.0,2.5,1.0,1.5,1.5,3.0,0.5,3.0,1.5,1.5
2,2.6666666666666665,1.6666666666666667,1.3333333333333333,2.0,4.0,1.0,2.0,0.6666666666666666,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,2.0,1.3333333333333333,1.0,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333
3,1.3333333333333333,2.0,1.3333333333333333,2.3333333333333335,3.6666666666666665,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,2.6666666666666665,2.0,1.6666666666666667,2.0,1.3333333333333333,1.0,1.0,2.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.0,2.0,0.6666666666666666,2.3333333333333335,1.0,1.0
4,1.0,2.0,1.0,1.6666666666666667,2.0,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,1.0,0.6666666666666666
5,1.0,1.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.0,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,2.0,2.0,1.0,1.0,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,1.0,3.0,2.0,0.6666666666666666
6,2.6666666666666665,1.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,1.6666666666666667,1.0,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.0,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.0,3.3333333333333335,1.3333333333333333,1.3333333333333333,3.3333333333333335,3.0,1.0
7,2.0,0.6666666666666666,2.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,3.6666666666666665,2.6666666666666665,0.3333333333333333,1.3333333333333333,4.333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,2.3333333333333335,1.0,1.0,1.3333333333333333,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,2.0,4.333333333333333,1.3333333333333333,3.0,3.0,3.0,1.3333333333333333
8,2.0,1.0,1.6666666666666667,2.3333333333333335,2.0,0.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333,4.333333333333333,3.3333333333333335,0.3333333333333333,1.3333333333333333,4.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.3333333333333333,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,3.3333333333333335,1.0,2.0,2.0,2.3333333333333335,5.333333333333333,1.3333333333333333,3.0,2.3333333333333335,2.0,1.3333333333333333
9,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,3.6666666666666665,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,2.3333333333333335,0.6666666666666666,3.0,2.3333333333333335,0.3333333333333333,1.3333333333333333,3.0,1.0,1.6666666666666667,2.0,1.3333333333333333,2.3333333333333335,2.3333333333333335,1.6666666666666667,2.0,1.3333333333333333,2.3333333333333335,2.0,2.0,2.0,3.0,4.0,1.3333333333333333,2.6666666666666665,2.0,1.3333333333333333,1.6666666666666667
