,Barcelona scored,Barcelona received,Betis scored,Betis received,La Coruna scored,La Coruna received,Mallorca scored,Mallorca received,Sevilla scored,Sevilla received,Malaga scored,Malaga received,Vallecano scored,Vallecano received,Valladolid scored,Valladolid received,Ath Madrid scored,Ath Madrid received,Levante scored,Levante received,Real Madrid scored,Real Madrid received,Valencia scored,Valencia received,Espanol scored,Espanol received,Getafe scored,Getafe received,Celta scored,Celta received,Granada scored,Granada received,Zaragoza scored,Zaragoza received,Ath Bilbao scored,Ath Bilbao received,Osasuna scored,Osasuna received,Sociedad scored,Sociedad received
0,5.0,1.0,5.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,2.0,1.0,5.0
1,3.5,1.0,3.0,2.5,2.5,1.5,1.5,1.0,1.5,1.0,1.0,0.5,1.5,0.5,1.5,0.0,2.5,0.5,0.5,1.5,1.0,1.5,2.0,2.0,1.0,2.0,1.5,1.5,0.5,1.5,0.5,1.0,1.0,1.0,1.5,4.5,0.5,2.0,1.5,3.0
2,2.6666666666666665,0.6666666666666666,2.6666666666666665,3.0,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,3.0,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,1.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,3.0,0.3333333333333333,2.0,1.0,2.3333333333333335
3,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,4.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,2.0,2.6666666666666665,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666
4,2.3333333333333335,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,0.0,1.3333333333333333,0.3333333333333333,1.0,2.0,0.3333333333333333,1.6666666666666667,3.3333333333333335,2.0,2.0,2.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,2.3333333333333335,1.6666666666666667,1.0,0.3333333333333333,2.0,1.0,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,2.0,1.0,1.0
5,3.0,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,0.6666666666666666,1.6666666666666667,1.0,2.3333333333333335,0.3333333333333333,1.3333333333333333,4.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.0,2.6666666666666665,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,1.0,1.6666666666666667,1.0,2.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.0,1.6666666666666667,1.0,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666
6,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,3.0,1.0,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,3.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,3.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333
7,3.3333333333333335,2.6666666666666665,0.6666666666666666,1.3333333333333333,2.0,4.0,1.0,2.0,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.0,1.6666666666666667,3.3333333333333335,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,3.0,1.0,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
8,4.0,2.0,1.0,0.0,2.0,2.6666666666666665,1.0,3.3333333333333335,1.3333333333333333,2.0,1.0,1.0,1.3333333333333333,3.0,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,3.0,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.3333333333333333,2.0,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667
9,4.333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,2.0,0.6666666666666666,3.0,1.3333333333333333,1.3333333333333333,1.0,1.0,1.3333333333333333,3.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,3.6666666666666665,0.0,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,2.0,1.0,2.3333333333333335,1.3333333333333333,2.0,1.6666666666666667,2.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333
10,4.0,1.0,2.0,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,3.3333333333333335,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,1.0,3.6666666666666665,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,2.3333333333333335,2.6666666666666665,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
11,3.3333333333333335,1.3333333333333333,2.0,3.0,1.3333333333333333,2.3333333333333335,1.0,2.0,2.0,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,3.6666666666666665,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,2.0,3.3333333333333335,1.6666666666666667,2.3333333333333335,1.0,0.3333333333333333,2.0,0.6666666666666666
12,3.6666666666666665,1.0,1.0,2.3333333333333335,1.3333333333333333,2.6666666666666665,1.0,2.3333333333333335,2.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.0,1.0,1.0,2.3333333333333335,0.0,1.0,2.0,2.3333333333333335,1.0,1.0,2.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,2.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.0,0.0,2.0,0.3333333333333333
13,4.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0,2.0,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.3333333333333333,3.3333333333333335,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,3.6666666666666665,0.3333333333333333,0.0,3.0,0.6666666666666666
14,3.6666666666666665,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,3.3333333333333335,0.3333333333333333,2.3333333333333335,1.0,2.6666666666666665,2.6666666666666665,0.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,3.3333333333333335,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.0,3.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.6666666666666667,1.0,0.6666666666666666,1.0,2.0,0.3333333333333333,0.3333333333333333,2.0,1.0
