,Club Brugge scored,Club Brugge received,Charleroi scored,Charleroi received,Waregem scored,Waregem received,St Truiden scored,St Truiden received,Mouscron scored,Mouscron received,Waasland-Beveren scored,Waasland-Beveren received,Anderlecht scored,Anderlecht received,Genk scored,Genk received,Standard scored,Standard received,Antwerp scored,Antwerp received,Mechelen scored,Mechelen received,Gent scored,Gent received,Kortrijk scored,Kortrijk received,Lokeren scored,Lokeren received,Oostende scored,Oostende received,Eupen scored,Eupen received
0,4.0,0.0,1.0,0.0,5.0,0.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,5.0
1,3.5,0.5,3.0,1.0,3.5,0.0,1.5,2.0,1.5,2.5,2.5,2.5,0.5,0.0,2.0,2.5,1.5,1.0,0.5,0.0,1.5,1.5,1.0,2.0,0.5,0.5,0.0,2.5,0.0,1.0,0.5,4.0
2,3.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.6666666666666665,1.6666666666666667,0.3333333333333333,0.6666666666666666,3.0,2.6666666666666665,1.0,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,0.6666666666666666,0.0,2.3333333333333335,0.0,1.6666666666666667,0.6666666666666666,3.3333333333333335
3,2.3333333333333335,1.0,2.6666666666666665,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.0,1.6666666666666667,2.0,2.0,0.6666666666666666,2.0,2.0,2.0,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.0,1.0,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,2.0
4,2.6666666666666665,0.6666666666666666,2.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.3333333333333333,0.0,3.0,3.0,3.0,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,3.0,1.0,2.0
5,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.0,2.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,2.6666666666666665,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,3.0
6,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.0,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.0,0.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.6666666666666666,3.0
7,1.6666666666666667,1.0,1.0,1.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,2.0,1.6666666666666667,2.6666666666666665,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.0,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,3.0
8,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,2.0,2.0,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,2.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,2.0,2.3333333333333335
9,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,2.0,1.0,2.3333333333333335,2.0,1.0,1.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.6666666666666665
