,Barcelona scored,Barcelona received,Real Madrid scored,Real Madrid received,Huesca scored,Huesca received,Sevilla scored,Sevilla received,Ath Bilbao scored,Ath Bilbao received,Sociedad scored,Sociedad received,Levante scored,Levante received,Ath Madrid scored,Ath Madrid received,Girona scored,Girona received,Valencia scored,Valencia received,Espanol scored,Espanol received,Valladolid scored,Valladolid received,Celta scored,Celta received,Leganes scored,Leganes received,Eibar scored,Eibar received,Vallecano scored,Vallecano received,Getafe scored,Getafe received,Alaves scored,Alaves received,Betis scored,Betis received,Villarreal scored,Villarreal received
0,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,2.0
1,2.0,0.0,3.0,0.5,2.0,1.5,2.0,0.5,2.0,1.5,2.0,1.5,2.0,1.0,1.0,0.5,0.5,2.0,0.5,1.5,1.5,0.5,0.0,0.5,1.5,1.0,1.5,2.0,0.5,2.0,0.5,2.5,1.0,1.0,0.0,1.5,0.0,1.5,0.5,1.0
2,4.0,0.6666666666666666,3.3333333333333335,0.6666666666666666,2.0,3.6666666666666665,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.0,0.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0
3,3.6666666666666665,1.0,3.0,1.0,1.3333333333333333,3.6666666666666665,0.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.0,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,2.0,1.3333333333333333,1.0,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
4,4.0,1.6666666666666667,2.0,0.6666666666666666,0.6666666666666666,3.3333333333333335,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,3.0,1.0,1.0,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.3333333333333333,2.3333333333333335,2.0,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,1.0,2.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
5,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.0,1.6666666666666667,3.0,1.3333333333333333,1.0,2.0,1.3333333333333333,1.3333333333333333,1.0,3.0,2.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,2.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,1.0,2.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,0.0
6,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,4.0,1.0,1.0,2.0,1.0,1.0,1.6666666666666667,3.0,1.6666666666666667,0.0,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,3.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333
7,1.0,1.3333333333333333,0.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.0,1.0,1.6666666666666667,1.0,0.6666666666666666,2.0,1.0,1.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333
8,2.0,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,2.3333333333333335,2.0,1.0,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,1.0,0.6666666666666666,2.3333333333333335,1.0,1.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.0,1.0,1.6666666666666667,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667
9,3.3333333333333335,1.3333333333333333,0.6666666666666666,2.6666666666666665,0.3333333333333333,1.6666666666666667,2.0,2.0,0.6666666666666666,1.3333333333333333,1.0,1.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.0,2.0
