,Newcastle scored,Newcastle received,Man City scored,Man City received,Chelsea scored,Chelsea received,Arsenal scored,Arsenal received,Blackburn scored,Blackburn received,Everton scored,Everton received,Liverpool scored,Liverpool received,Sunderland scored,Sunderland received,Derby scored,Derby received,Portsmouth scored,Portsmouth received,Man United scored,Man United received,Reading scored,Reading received,Birmingham scored,Birmingham received,Aston Villa scored,Aston Villa received,Fulham scored,Fulham received,Middlesbrough scored,Middlesbrough received,Wigan scored,Wigan received,Tottenham scored,Tottenham received,Bolton scored,Bolton received,West Ham scored,West Ham received
0,3.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,2.0
1,2.0,1.0,1.5,0.0,2.5,1.5,1.5,1.0,1.0,2.5,2.5,1.0,3.0,0.5,1.5,1.0,1.0,1.5,1.5,1.5,0.5,0.5,0.5,1.0,2.0,2.5,2.5,1.0,1.5,1.5,0.5,1.5,1.0,1.0,0.5,2.0,1.0,2.5,0.0,3.0
2,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,2.0,1.3333333333333333,1.3333333333333333,1.0,1.0,2.0,1.6666666666666667,1.0,2.3333333333333335,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,2.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,2.6666666666666665,0.3333333333333333,2.0
3,1.0,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,2.0,1.3333333333333333,1.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.6666666666666667
4,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,3.0,0.3333333333333333,0.0,2.0,0.3333333333333333,4.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.3333333333333335,2.0,1.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.3333333333333333
5,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,2.6666666666666665,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665,0.3333333333333333,1.3333333333333333,1.0,0.0,0.3333333333333333,2.6666666666666665,1.0,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.0,2.3333333333333335,0.3333333333333333
6,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,3.6666666666666665,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,3.6666666666666665,0.6666666666666666,1.0,1.3333333333333333,0.0,1.0,2.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0
7,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.0,0.6666666666666666,3.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.0,2.3333333333333335,3.3333333333333335,0.3333333333333333,0.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333
8,2.3333333333333335,2.0,3.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,3.0,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.3333333333333333,2.3333333333333335,3.3333333333333335,1.3333333333333333,2.3333333333333335,0.0,2.3333333333333335,2.6666666666666665,0.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,1.0,2.3333333333333335,0.3333333333333333,2.3333333333333335,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667
9,2.3333333333333335,2.0,2.3333333333333335,0.6666666666666666,1.0,0.0,2.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,0.6666666666666666,3.6666666666666665,1.3333333333333333,3.0,0.3333333333333333,2.3333333333333335,3.6666666666666665,0.3333333333333333,1.3333333333333333,2.0,2.6666666666666665,0.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,3.0,0.3333333333333333,1.3333333333333333,1.0,1.0
