,Liverpool scored,Liverpool received,Chelsea scored,Chelsea received,Bournemouth scored,Bournemouth received,Crystal Palace scored,Crystal Palace received,Man City scored,Man City received,Watford scored,Watford received,Man United scored,Man United received,Tottenham scored,Tottenham received,Everton scored,Everton received,Burnley scored,Burnley received,Southampton scored,Southampton received,Leicester scored,Leicester received,Newcastle scored,Newcastle received,Arsenal scored,Arsenal received,Brighton scored,Brighton received,Huddersfield scored,Huddersfield received,West Ham scored,West Ham received,Wolves scored,Wolves received,Cardiff scored,Cardiff received,Fulham scored,Fulham received
0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.0,3.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335,1.0,1.0,1.3333333333333333,4.0,1.3333333333333333,1.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,1.0,2.0,1.6666666666666667,,,,,,
1,2.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,2.6666666666666665,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,3.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,1.3333333333333333,2.0,0.3333333333333333,2.3333333333333335,2.0,1.0,,,,,,
2,2.3333333333333335,0.0,1.6666666666666667,2.0,2.0,1.3333333333333333,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,1.0,2.0,3.6666666666666665,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,3.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,2.0,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.0,2.3333333333333335,0.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,,,,,,
3,1.6666666666666667,0.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,2.0,3.0,1.0,2.3333333333333335,1.0,1.3333333333333333,2.0,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,1.0,3.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333,2.6666666666666665,2.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.6666666666666666,2.0,0.6666666666666666,1.0,0.6666666666666666,1.0,2.3333333333333335,2.3333333333333335
4,1.6666666666666667,0.6666666666666666,2.6666666666666665,0.6666666666666666,2.0,2.0,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,1.0,2.3333333333333335,2.0,2.3333333333333335
5,2.3333333333333335,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,0.3333333333333333,0.6666666666666666,3.3333333333333335,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,2.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,2.0,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,4.0,1.0,2.0
6,2.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,3.3333333333333335,0.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.6666666666666667,0.3333333333333333,1.3333333333333333,2.0,0.3333333333333333,1.0,2.0,0.3333333333333333,2.0,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,3.6666666666666665,0.3333333333333333,2.3333333333333335
7,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,1.0,2.3333333333333335,0.0,0.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.0,2.3333333333333335,0.6666666666666666,0.0,2.6666666666666665,2.0,1.0,0.6666666666666666,1.6666666666666667,3.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,3.0
8,0.6666666666666666,0.3333333333333333,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.0,0.6666666666666666,2.0,2.0,2.3333333333333335,1.3333333333333333,0.0,2.3333333333333335,0.3333333333333333,1.0,2.3333333333333335,0.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.0,4.0
9,1.6666666666666667,0.3333333333333333,3.0,0.6666666666666666,2.3333333333333335,0.0,0.6666666666666666,1.6666666666666667,2.0,0.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,3.3333333333333335,0.0,1.0,1.0,2.0,0.6666666666666666,1.3333333333333333,3.3333333333333335,1.3333333333333333,1.0,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,1.0,4.0
